Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2014/15

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;24;87,5;..;70,8;..;14,3;15,0;95,8;100,0;100,0;91,7;91,7;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;42;92,9;..;92,9;..;15,3;15,7;100,0;100,0;100,0;100,0;.;97,6;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;42;92,9;..;92,9;..;15,3;15,7;100,0;100,0;100,0;100,0;.;97,6;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;66;90,9;..;84,8;..;14,9;15,4;98,5;100,0;100,0;97,0;91,7;98,5;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;24;87,5;..;70,8;..;14,3;15,0;95,8;100,0;100,0;91,7;91,7;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Bygg- och anläggningsprogrammet;22;86,4;..;45,5;45,5;12,2;13,3;95,5;86,4;95,5;100,0;59,1;77,3;72,7;100,0;.;90,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;135;91,9;8,1;85,2;14,8;14,1;14,6;99,3;97,0;99,3;99,3;92,6;94,1;94,8;99,2;..;96,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;22;86,4;..;45,5;45,5;12,2;13,3;95,5;86,4;95,5;100,0;59,1;77,3;72,7;100,0;.;90,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;113;92,9;..;92,9;8,8;14,4;14,9;100,0;99,1;100,0;99,1;99,1;97,3;99,1;99,1;..;97,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;113;92,9;..;92,9;8,8;14,4;14,9;100,0;99,1;100,0;99,1;99,1;97,3;99,1;99,1;..;97,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;72;93,1;..;93,1;..;14,2;14,4;100,0;97,2;100,0;100,0;.;95,8;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;72;93,1;..;93,1;..;14,2;14,4;100,0;97,2;100,0;100,0;.;95,8;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;72;93,1;..;93,1;..;14,2;14,4;100,0;97,2;100,0;100,0;.;95,8;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;18;72,2;..;55,6;.;11,4;12,3;100,0;83,3;83,3;94,4;94,4;83,3;94,4;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;38;78,9;..;78,9;..;13,6;14,3;100,0;94,7;92,1;100,0;94,7;94,7;97,4;94,7;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;56;76,8;23,2;71,4;..;12,9;13,7;100,0;91,1;89,3;98,2;94,6;91,1;96,4;96,4;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;18;72,2;..;55,6;.;11,4;12,3;100,0;83,3;83,3;94,4;94,4;83,3;94,4;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Estetiska programmet;38;78,9;..;78,9;..;13,6;14,3;100,0;94,7;92,1;100,0;94,7;94,7;97,4;94,7;.;100,0;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;..;..;.;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;..;..;.;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;..;..;.;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Ekonomiprogrammet;11;90,9;..;90,9;..;13,0;13,4;100,0;90,9;100,0;100,0;100,0;90,9;90,9;100,0;.;100,0;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Estetiska programmet;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;.;..;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Hantverksprogrammet;23;91,3;..;..;43,5;14,5;14,8;95,7;95,7;100,0;95,7;95,7;87,0;91,3;95,7;.;95,7;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Nationella program;39;92,3;..;59,0;35,9;14,1;14,4;97,4;94,9;100,0;97,4;97,4;89,7;92,3;97,4;.;97,4;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Högskoleförberedande program;16;93,8;..;93,8;..;13,6;13,9;100,0;93,8;100,0;100,0;100,0;93,8;93,8;100,0;.;100,0;
