Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2022/23

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Vård- och omsorgsprogrammet;13;92,3;..;..;..;13,6;13,8;92,3;100,0;84,6;100,0;100,0;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;13;92,3;..;..;..;13,6;13,8;92,3;100,0;84,6;100,0;100,0;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;13;92,3;..;..;..;13,6;13,8;92,3;100,0;84,6;100,0;100,0;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;173;93,6;6,4;93,6;..;14,7;15,0;100,0;99,4;99,4;99,4;100,0;95,4;99,4;100,0;.;98,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Samhällsvetenskapsprogrammet;173;93,6;6,4;93,6;..;14,7;15,0;100,0;99,4;99,4;99,4;100,0;95,4;99,4;100,0;.;98,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;173;93,6;6,4;93,6;..;14,7;15,0;100,0;99,4;99,4;99,4;100,0;95,4;99,4;100,0;.;98,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Teknikprogrammet;122;97,5;..;97,5;21,3;16,2;16,3;100,0;100,0;100,0;100,0;.;99,2;99,2;100,0;..;99,2;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;122;97,5;..;97,5;21,3;16,2;16,3;100,0;100,0;100,0;100,0;.;99,2;99,2;100,0;..;99,2;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;122;97,5;..;97,5;21,3;16,2;16,3;100,0;100,0;100,0;100,0;.;99,2;99,2;100,0;..;99,2;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Estetiska programmet;19;94,7;..;94,7;..;14,7;15,0;100,0;100,0;94,7;100,0;100,0;89,5;94,7;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Barn- och fritidsprogrammet;25;96,0;..;88,0;..;15,2;15,2;96,0;96,0;100,0;100,0;100,0;88,0;96,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;44;95,5;..;90,9;..;14,9;15,1;97,7;97,7;97,7;100,0;100,0;88,6;95,5;100,0;..;100,0;
