Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2018/19

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;46;100,0;.;100,0;..;16,5;16,5;100,0;100,0;97,8;100,0;.;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;46;100,0;.;100,0;..;16,5;16,5;100,0;100,0;97,8;100,0;.;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;55;98,2;..;89,1;..;15,8;16,0;100,0;98,2;96,4;100,0;..;96,4;100,0;100,0;..;98,2;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;107;95,3;..;95,3;..;13,8;14,2;100,0;98,1;97,2;100,0;99,1;97,2;99,1;100,0;.;98,1;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;107;95,3;..;95,3;..;13,8;14,2;100,0;98,1;97,2;100,0;99,1;97,2;99,1;100,0;.;98,1;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;107;95,3;..;95,3;..;13,8;14,2;100,0;98,1;97,2;100,0;99,1;97,2;99,1;100,0;.;98,1;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;61;98,4;..;98,4;27,9;15,7;15,7;100,0;100,0;100,0;100,0;.;95,1;98,4;100,0;.;100,0;
