Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2019/20

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;14;..;..;..;..;12,3;..;85,7;78,6;100,0;78,6;100,0;92,9;78,6;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;14;..;..;..;..;12,3;..;85,7;78,6;100,0;78,6;100,0;92,9;78,6;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;61;98,4;..;98,4;..;16,5;16,5;100,0;98,4;98,4;100,0;.;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;61;98,4;..;98,4;..;16,5;16,5;100,0;98,4;98,4;100,0;.;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;75;92,0;..;86,7;..;15,7;16,1;97,3;94,7;98,7;96,0;100,0;98,7;96,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;119;97,5;..;97,5;..;14,2;14,3;100,0;100,0;98,3;100,0;100,0;99,2;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;119;97,5;..;97,5;..;14,2;14,3;100,0;100,0;98,3;100,0;100,0;99,2;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;119;97,5;..;97,5;..;14,2;14,3;100,0;100,0;98,3;100,0;100,0;99,2;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;82;91,5;..;91,5;..;14,7;15,1;100,0;100,0;100,0;100,0;.;95,1;96,3;100,0;..;98,8;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;82;91,5;..;91,5;..;14,7;15,1;100,0;100,0;100,0;100,0;.;95,1;96,3;100,0;..;98,8;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;82;91,5;..;91,5;..;14,7;15,1;100,0;100,0;100,0;100,0;.;95,1;96,3;100,0;..;98,8;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;International Baccalaureate;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Estetiska programmet;35;88,6;..;88,6;..;14,1;14,9;100,0;85,7;97,1;100,0;94,3;82,9;97,1;97,1;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;23;95,7;..;82,6;..;13,4;13,4;100,0;100,0;100,0;95,7;100,0;91,3;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;65;91,4;..;86,2;17,2;13,8;14,3;100,0;91,4;98,3;98,3;96,6;86,2;98,3;98,3;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;42;88,6;..;88,6;..;14,1;14,9;100,0;85,7;97,1;100,0;94,3;82,9;97,1;97,1;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;23;95,7;..;82,6;..;13,4;13,4;100,0;100,0;100,0;95,7;100,0;91,3;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 5;41358402;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Bygg- och anläggningsprogrammet;30;93,3;..;63,3;..;12,8;12,9;96,7;93,3;96,7;96,7;100,0;73,3;93,3;96,6;..;100,0;
Aranäsgymnasiet Enhet 5;41358402;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;30;93,3;..;63,3;..;12,8;12,9;96,7;93,3;96,7;96,7;100,0;73,3;93,3;96,6;..;100,0;
Aranäsgymnasiet Enhet 5;41358402;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;30;93,3;..;63,3;..;12,8;12,9;96,7;93,3;96,7;96,7;100,0;73,3;93,3;96,6;..;100,0;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;11;100,0;.;100,0;..;11,7;11,7;100,0;100,0;100,0;100,0;90,9;100,0;90,9;100,0;.;100,0;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;11;100,0;.;100,0;..;11,7;11,7;100,0;100,0;100,0;100,0;90,9;100,0;90,9;100,0;.;100,0;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;11;100,0;.;100,0;..;11,7;11,7;100,0;100,0;100,0;100,0;90,9;100,0;90,9;100,0;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Yrkesprogram;21;95,2;..;..;.;15,6;15,9;95,2;95,2;85,7;95,2;95,2;90,5;95,2;95,2;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Samhällsvetenskapsprogrammet;13;92,3;..;92,3;.;14,7;15,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Högskoleförberedande program;19;84,2;..;84,2;.;14,2;15,0;100,0;94,7;100,0;100,0;100,0;100,0;100,0;94,7;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Nationella program;40;90,0;..;45,0;.;15,0;15,5;97,5;95,0;92,5;97,5;97,5;95,0;97,5;95,0;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Hantverksprogrammet;21;95,2;..;..;.;15,6;15,9;95,2;95,2;85,7;95,2;95,2;90,5;95,2;95,2;.;100,0;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Ekonomiprogrammet;..;..;..;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Restaurang- och livsmedelsprogrammet;..;..;.;.;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;50;90,0;..;..;28,0;13,2;13,5;98,0;84,0;100,0;96,0;100,0;88,0;98,0;100,0;.;98,0;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;..;..;.;.;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;50;90,0;..;..;28,0;13,2;13,5;98,0;84,0;100,0;96,0;100,0;88,0;98,0;100,0;.;98,0;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Industritekniska programmet;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Hotell- och turismprogrammet;..;..;.;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Handels- och administrationsprogrammet;..;..;..;.;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Fordons- och transportprogrammet;24;87,5;..;..;..;12,5;13,2;95,8;75,0;100,0;95,8;100,0;79,2;95,8;100,0;.;95,8;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Bygg- och anläggningsprogrammet;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs gymn Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;46;97,8;..;97,8;..;15,8;15,9;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Elof Lindälvs gymn Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;46;97,8;..;97,8;..;15,8;15,9;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Elof Lindälvs gymn Enhet 2;64160122;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;46;97,8;..;97,8;..;15,8;15,9;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
