Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2020/21

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;66;98,5;..;98,5;..;17,1;17,2;100,0;95,5;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;66;98,5;..;98,5;..;17,1;17,2;100,0;95,5;100,0;100,0;.;100,0;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;86;97,7;..;93,0;15,1;16,5;16,6;100,0;96,5;98,8;100,0;100,0;98,8;98,8;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;20;95,0;..;75,0;..;14,5;14,8;100,0;100,0;95,0;100,0;100,0;95,0;95,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;20;95,0;..;75,0;..;14,5;14,8;100,0;100,0;95,0;100,0;100,0;95,0;95,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;150;95,3;..;95,3;..;15,0;15,3;100,0;98,7;99,3;100,0;98,0;96,0;98,7;100,0;..;96,7;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;150;95,3;..;95,3;..;15,0;15,3;100,0;98,7;99,3;100,0;98,0;96,0;98,7;100,0;..;96,7;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;150;95,3;..;95,3;..;15,0;15,3;100,0;98,7;99,3;100,0;98,0;96,0;98,7;100,0;..;96,7;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;94;94,7;..;94,7;10,6;15,4;15,7;100,0;98,9;100,0;100,0;.;98,9;96,8;100,0;.;97,9;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;94;94,7;..;94,7;10,6;15,4;15,7;100,0;98,9;100,0;100,0;.;98,9;96,8;100,0;.;97,9;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;94;94,7;..;94,7;10,6;15,4;15,7;100,0;98,9;100,0;100,0;.;98,9;96,8;100,0;.;97,9;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;24;87,5;..;54,2;..;13,2;13,7;100,0;100,0;95,8;91,7;100,0;91,7;95,8;100,0;..;87,5;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;35;88,6;..;88,6;..;15,2;16,0;97,1;88,6;94,3;100,0;94,3;85,7;94,3;97,1;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;59;88,1;..;74,6;22,0;14,4;15,1;98,3;93,2;94,9;96,6;96,6;88,1;94,9;98,1;..;94,9;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Estetiska programmet;35;88,6;..;88,6;..;15,2;16,0;97,1;88,6;94,3;100,0;94,3;85,7;94,3;97,1;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;24;87,5;..;54,2;..;13,2;13,7;100,0;100,0;95,8;91,7;100,0;91,7;95,8;100,0;..;87,5;
Aranäsgymnasiet Enhet 5;41358402;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Bygg- och anläggningsprogrammet;24;100,0;.;79,2;..;12,8;12,8;100,0;87,5;95,8;100,0;100,0;100,0;91,7;100,0;.;100,0;
