Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2015/16

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;21;90,5;..;71,4;..;14,3;14,7;95,2;95,2;95,2;100,0;100,0;90,5;95,2;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;21;90,5;..;71,4;..;14,3;14,7;95,2;95,2;95,2;100,0;100,0;90,5;95,2;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;42;97,6;..;97,6;..;16,0;16,1;100,0;100,0;97,6;100,0;.;97,6;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;42;97,6;..;97,6;..;16,0;16,1;100,0;100,0;97,6;100,0;.;97,6;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;63;95,2;..;88,9;..;15,4;15,6;98,4;98,4;96,8;100,0;100,0;95,2;98,4;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;22;95,5;..;..;59,1;11,7;11,9;100,0;95,5;95,5;100,0;90,9;86,4;86,4;100,0;.;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Bygg- och anläggningsprogrammet;22;95,5;..;..;59,1;11,7;11,9;100,0;95,5;95,5;100,0;90,9;86,4;86,4;100,0;.;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;100;93,0;..;80,0;13,0;13,5;13,9;100,0;99,0;99,0;99,0;93,0;96,0;96,0;100,0;.;96,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;78;92,3;..;92,3;.;14,0;14,5;100,0;100,0;100,0;98,7;93,6;98,7;98,7;100,0;.;94,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;78;92,3;..;92,3;.;14,0;14,5;100,0;100,0;100,0;98,7;93,6;98,7;98,7;100,0;.;94,9;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;64;87,5;..;87,5;23,4;14,2;14,9;100,0;93,8;98,4;98,4;.;92,2;100,0;100,0;.;95,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;64;87,5;..;87,5;23,4;14,2;14,9;100,0;93,8;98,4;98,4;.;92,2;100,0;100,0;.;95,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;64;87,5;..;87,5;23,4;14,2;14,9;100,0;93,8;98,4;98,4;.;92,2;100,0;100,0;.;95,3;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Estetiska programmet;55;83,6;..;83,6;..;14,2;14,9;100,0;90,9;90,9;98,2;89,1;90,9;100,0;98,1;..;98,2;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;16;81,3;..;68,8;..;12,3;13,4;87,5;87,5;93,8;87,5;87,5;81,3;93,8;93,8;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;16;81,3;..;68,8;..;12,3;13,4;87,5;87,5;93,8;87,5;87,5;81,3;93,8;93,8;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;64;83,6;..;83,6;..;14,2;14,9;100,0;90,9;90,9;98,2;89,1;90,9;100,0;98,1;..;98,2;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;80;83,1;16,9;80,3;18,3;13,7;14,6;97,2;90,1;91,5;95,8;88,7;88,7;98,6;97,1;..;98,6;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;International Baccalaureate;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;17;88,2;..;88,2;..;13,1;13,6;100,0;94,1;100,0;100,0;100,0;94,1;94,1;100,0;.;94,1;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;17;88,2;..;88,2;..;13,1;13,6;100,0;94,1;100,0;100,0;100,0;94,1;94,1;100,0;.;94,1;
Beda Hallbergs gymnasium;63179610;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;17;88,2;..;88,2;..;13,1;13,6;100,0;94,1;100,0;100,0;100,0;94,1;94,1;100,0;.;94,1;
Drottning Blankas Gymn. Kungsbacka;64569393;Kungsbacka;1384;Enskild;Drottning Blankas Gymnasieskola AB;5565668794;Ekonomiprogrammet;11;90,9;..;90,9;..;14,0;14,8;100,0;100,0;90,9;100,0;100,0;100,0;100,0;100,0;.;100,0;
