Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2023/24

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Vård- och omsorgsprogrammet;12;..;..;..;..;14,4;..;91,7;91,7;100,0;83,3;100,0;91,7;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;12;..;..;..;..;14,4;..;91,7;91,7;100,0;83,3;100,0;91,7;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;12;..;..;..;..;14,4;..;91,7;91,7;100,0;83,3;100,0;91,7;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;182;94,5;5,5;94,5;..;14,5;14,8;98,9;99,5;98,9;98,9;100,0;97,3;100,0;99,4;..;96,7;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Samhällsvetenskapsprogrammet;182;94,5;5,5;94,5;..;14,5;14,8;98,9;99,5;98,9;98,9;100,0;97,3;100,0;99,4;..;96,7;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;182;94,5;5,5;94,5;..;14,5;14,8;98,9;99,5;98,9;98,9;100,0;97,3;100,0;99,4;..;96,7;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Teknikprogrammet;119;96,6;..;96,6;15,1;15,5;15,6;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;98,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;119;96,6;..;96,6;15,1;15,5;15,6;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;98,3;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;119;96,6;..;96,6;15,1;15,5;15,6;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;..;98,3;
