Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2021/22

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Vård- och omsorgsprogrammet;15;100,0;.;..;..;14,6;14,6;100,0;100,0;100,0;100,0;100,0;93,3;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;15;100,0;.;..;..;14,6;14,6;100,0;100,0;100,0;100,0;100,0;93,3;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;15;100,0;.;..;..;14,6;14,6;100,0;100,0;100,0;100,0;100,0;93,3;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;155;97,4;..;97,4;..;14,6;14,7;100,0;100,0;100,0;99,4;100,0;98,1;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Samhällsvetenskapsprogrammet;155;97,4;..;97,4;..;14,6;14,7;100,0;100,0;100,0;99,4;100,0;98,1;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;155;97,4;..;97,4;..;14,6;14,7;100,0;100,0;100,0;99,4;100,0;98,1;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Teknikprogrammet;82;96,3;..;96,3;..;15,6;15,7;100,0;100,0;100,0;100,0;.;100,0;98,8;100,0;..;98,8;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;82;96,3;..;96,3;..;15,6;15,7;100,0;100,0;100,0;100,0;.;100,0;98,8;100,0;..;98,8;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;82;96,3;..;96,3;..;15,6;15,7;100,0;100,0;100,0;100,0;.;100,0;98,8;100,0;..;98,8;
