Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2013/14

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;61;93,4;..;85,2;..;15,3;15,6;98,4;100,0;100,0;98,4;100,0;96,7;100,0;100,0;..;98,4;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;37;94,6;..;94,6;..;15,9;16,2;97,3;100,0;100,0;100,0;.;97,3;100,0;100,0;..;97,3;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;37;94,6;..;94,6;..;15,9;16,2;97,3;100,0;100,0;100,0;.;97,3;100,0;100,0;..;97,3;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;24;91,7;..;70,8;..;14,4;14,7;100,0;100,0;100,0;95,8;100,0;95,8;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;24;91,7;..;70,8;..;14,4;14,7;100,0;100,0;100,0;95,8;100,0;95,8;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;98;93,9;..;93,9;..;14,1;14,5;100,0;99,0;100,0;100,0;95,9;100,0;99,0;100,0;..;96,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;98;93,9;..;93,9;..;14,1;14,5;100,0;99,0;100,0;100,0;95,9;100,0;99,0;100,0;..;96,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;94;94,7;..;94,7;..;14,1;14,4;100,0;98,9;100,0;100,0;96,8;100,0;98,9;100,0;..;97,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Humanistiska programmet;..;..;..;..;.;..;..;..;..;..;..;..;..;..;..;.;..;
