Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2024/25

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Ekonomiprogrammet;14;71,4;..;71,4;..;11,9;13,1;100,0;92,9;100,0;92,9;100,0;92,9;100,0;..;..;92,9;
Drottning Blankas Gymnasieskola Kungsbacka;64569393;Kungsbacka;1384;Enskild;DBGY Kronan AB;5565668794;Samhällsvetenskapsprogrammet;22;90,9;..;90,9;.;14,7;15,4;100,0;100,0;100,0;90,9;100,0;100,0;100,0;100,0;.;90,9;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;88;90,9;..;..;27,3;12,8;13,1;95,5;90,9;97,7;96,6;83,0;92,0;85,2;96,5;..;97,7;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Vård- och omsorgsprogrammet;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;88;90,9;..;..;27,3;12,8;13,1;95,5;90,9;97,7;96,6;83,0;92,0;85,2;96,5;..;97,7;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Restaurang- och livsmedelsprogrammet;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Naturbruksprogrammet;..;..;.;.;..;..;..;..;..;..;..;..;..;..;..;.;..;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Industritekniska programmet;10;100,0;.;..;..;14,1;14,1;100,0;..;100,0;100,0;..;100,0;100,0;..;..;100,0;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Hotell- och turismprogrammet;..;.;..;.;..;..;.;..;..;.;..;..;..;..;..;.;..;
Elof Lindälvs Gymnasium Enhet 1;87262566;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Fordons- och transportprogrammet;36;88,9;..;..;..;11,3;11,6;88,9;80,6;97,2;97,2;80,6;83,3;88,9;91,7;.;97,2;
