Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2017/18

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Vård- och omsorgsprogrammet;21;95,2;..;85,7;..;13,4;13,6;100,0;100,0;95,2;95,2;100,0;90,5;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Yrkesprogram;21;95,2;..;85,7;..;13,4;13,6;100,0;100,0;95,2;95,2;100,0;90,5;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;43;100,0;.;100,0;.;16,9;16,9;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Naturvetenskapsprogrammet;43;100,0;.;100,0;.;16,9;16,9;100,0;100,0;100,0;100,0;.;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 1;76860623;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;64;98,4;..;95,3;..;15,8;15,8;100,0;100,0;98,4;98,4;100,0;96,9;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;94;89,4;10,6;89,4;..;13,7;14,3;100,0;98,9;97,9;98,9;96,8;96,8;98,9;98,9;..;98,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;94;89,4;10,6;89,4;..;13,7;14,3;100,0;98,9;97,9;98,9;96,8;96,8;98,9;98,9;..;98,9;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Samhällsvetenskapsprogrammet;94;89,4;10,6;89,4;..;13,7;14,3;100,0;98,9;97,9;98,9;96,8;96,8;98,9;98,9;..;98,9;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Teknikprogrammet;62;95,2;..;95,2;22,6;14,5;14,7;100,0;98,4;100,0;100,0;.;100,0;100,0;100,0;..;98,4;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;62;95,2;..;95,2;22,6;14,5;14,7;100,0;98,4;100,0;100,0;.;100,0;100,0;100,0;..;98,4;
Aranäsgymnasiet Enhet 3;80405898;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;62;95,2;..;95,2;22,6;14,5;14,7;100,0;98,4;100,0;100,0;.;100,0;100,0;100,0;..;98,4;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;International Baccalaureate;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Estetiska programmet;19;94,7;..;94,7;..;15,0;15,2;100,0;100,0;89,5;100,0;100,0;57,9;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Barn- och fritidsprogrammet;11;100,0;.;..;..;13,2;13,2;100,0;100,0;100,0;100,0;100,0;..;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Nationella program;43;96,7;..;90,0;..;14,4;14,5;100,0;100,0;93,3;100,0;100,0;66,7;100,0;100,0;..;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka;2120001256;Högskoleförberedande program;32;94,7;..;94,7;..;15,0;15,2;100,0;100,0;89,5;100,0;100,0;57,9;100,0;100,0;..;100,0;
