lan;län;kom;kommun;lokalid;lokal;2014-08-27;2014-08-28;2014-08-29;2014-08-30;2014-08-31;2014-09-01;2014-09-02;2014-09-03;2014-09-04;2014-09-05;2014-09-06;2014-09-07;2014-09-08;2014-09-09;2014-09-10;2014-09-11;2014-09-12;2014-09-13;2014-09-14;Totalt
01;Stockholms län;14;Upplands Väsby;12659;Messingen;0;0;0;0;0;122;100;99;98;86;94;0;175;210;225;237;276;362;379;2463
01;Stockholms län;14;Upplands Väsby;12660;Löwenströmska sjukhuset;0;0;0;0;0;0;0;0;75;49;0;0;0;0;0;0;0;0;0;124
01;Stockholms län;14;Upplands Väsby;12661;Hembygdsgården;0;0;0;0;0;0;0;0;0;0;0;106;70;0;0;0;0;0;0;176
01;Stockholms län;14;Upplands Väsby;13464;Väsby Centrum;341;385;284;204;212;316;336;301;335;294;215;340;482;592;599;632;703;520;0;7091
01;Stockholms län;14;Upplands Väsby;14614;Grimstagården;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;117;0;0;338
01;Stockholms län;15;Vallentuna;14381;Kårsta bibliotek;0;0;0;0;13;0;0;0;0;0;0;36;0;0;0;0;0;0;11;60
01;Stockholms län;15;Vallentuna;7945;Vallentuna bibliotek;235;231;225;158;119;268;209;284;230;245;226;225;431;526;649;691;708;498;285;6443
01;Stockholms län;15;Vallentuna;7946;Karby bibliotek;0;47;0;0;0;48;0;0;48;0;0;0;114;0;0;158;0;0;0;415
01;Stockholms län;17;Österåker;10383;Enebackens äldreboende;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;26
01;Stockholms län;17;Österåker;10635;Åkersberga bibliotek;285;304;208;144;142;322;308;278;296;293;261;282;518;686;695;790;708;0;0;6520
01;Stockholms län;17;Österåker;10636;Kommunhuset/Alceahuset;139;150;99;0;0;134;130;146;136;116;0;0;266;276;283;330;322;0;0;2527
01;Stockholms län;17;Österåker;10637;Solskiftets äldreboende;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;28
01;Stockholms län;17;Österåker;13842;Skärgårdsgymnasiet;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
01;Stockholms län;17;Österåker;13843;Österåkers gymnasium;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;8
01;Stockholms län;17;Österåker;14879;IT-gymnasiet;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
01;Stockholms län;17;Österåker;14880;Vårdbo;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;13
01;Stockholms län;17;Österåker;5876;Ljungbacken, Inackorderingshemmet;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;13
01;Stockholms län;17;Österåker;5877;Solhälla Vårdbiträdesgrupp;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
01;Stockholms län;17;Österåker;5879;Anstalten Österåker;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
01;Stockholms län;17;Österåker;5880;Häktet Österåker;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
01;Stockholms län;17;Österåker;8122;Ljusterö Tjänste- och information;18;32;34;15;9;0;18;28;25;37;21;8;0;70;49;53;64;63;40;584
01;Stockholms län;17;Österåker;9793;Ingmarsö Livs KB;0;3;4;0;0;6;7;7;1;9;8;0;13;10;16;14;23;32;0;153
01;Stockholms län;20;Värmdö;13552;Huvudbiblioteket, Runda Huset;67;101;93;62;73;115;137;111;139;122;145;204;276;375;418;447;410;419;0;3714
01;Stockholms län;20;Värmdö;14594;Alsviks Bygdegård;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;47;85
01;Stockholms län;20;Värmdö;5883;Gustavsgården;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;46
01;Stockholms län;20;Värmdö;9123;Kommunhuset, Skogsbo;102;150;127;0;0;106;118;122;162;128;0;0;181;224;293;436;350;368;424;3291
01;Stockholms län;20;Värmdö;9124;Ingarö bibliotek, Brunns skola;28;44;19;0;0;54;48;60;55;24;0;0;103;111;126;123;230;0;0;1025
01;Stockholms län;20;Värmdö;9126;Hemmesta bibliotek;49;34;28;0;0;47;42;82;34;30;0;0;77;85;296;108;188;0;0;1100
01;Stockholms län;20;Värmdö;9127;Djurö bibliotek, Djurö skola;17;24;22;0;0;42;41;35;60;34;0;0;99;99;90;101;166;0;0;830
01;Stockholms län;20;Värmdö;9128;Möja skola;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;102;156
01;Stockholms län;20;Värmdö;9129;Hembygdsgården Nämdö;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52
01;Stockholms län;20;Värmdö;9130;Runmarö skola;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;99;145
01;Stockholms län;20;Värmdö;9131;Sandhamns skola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;52;97
01;Stockholms län;23;Järfälla;13108;Järfälla gymnasiebibliotek;0;0;0;0;0;0;0;0;0;0;0;0;5;20;13;26;28;0;0;92
01;Stockholms län;23;Järfälla;13854;Järfälla kommuns kundtjänst;65;101;54;0;0;91;94;73;68;44;0;0;105;119;108;121;110;0;0;1153
01;Stockholms län;23;Järfälla;14940;Centrumgallerian;274;418;313;231;218;395;418;415;418;420;443;415;638;762;757;921;1142;1059;933;10590
01;Stockholms län;23;Järfälla;9032;Kallhälls bibliotek;117;108;90;80;0;191;130;156;100;125;125;0;248;126;356;162;245;246;0;2605
01;Stockholms län;23;Järfälla;9033;Barkarby bibliotek;90;81;0;79;0;110;53;99;73;0;114;0;190;104;195;133;0;225;0;1546
01;Stockholms län;23;Järfälla;9034;Viksjö bibliotek;96;118;71;106;0;135;65;164;88;102;146;0;239;178;360;193;194;290;0;2545
01;Stockholms län;25;Ekerö;12363;Biblioteket Ekerö;160;176;136;103;0;184;167;165;204;192;170;0;306;383;445;450;513;376;0;4130
01;Stockholms län;25;Ekerö;12365;Barnens biblioteket i Stenhamra;46;54;44;0;55;60;34;46;92;37;0;114;93;66;73;210;94;0;0;1118
01;Stockholms län;25;Ekerö;14395;Mobil röstningsstation;0;6;8;19;17;5;17;66;34;26;39;80;47;75;110;99;116;86;68;918
01;Stockholms län;25;Ekerö;14584;Färingsöhemmet;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;14
01;Stockholms län;25;Ekerö;5886;Behandlingshemmet Kurön;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;33
01;Stockholms län;25;Ekerö;5887;Ekgårdens äldreboende;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;31
01;Stockholms län;25;Ekerö;5889;Vårdhemmet Kullen;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;26
01;Stockholms län;25;Ekerö;9648;Kriminalvårdsanstalten Svartsjö;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;30
01;Stockholms län;25;Ekerö;9649;Kriminalvårdsanstalten Färingsö;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;25
01;Stockholms län;26;Huddinge;13036;Stortorps äldrecentrum;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;36
01;Stockholms län;26;Huddinge;13227;Beateberg;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;27
