LÄNSKOD;LÄN;KOMMUNKOD;KOMMUN;LOKALID;LOKAL;2022-08-24 00:00:00;2022-08-25 00:00:00;2022-08-26 00:00:00;2022-08-27 00:00:00;2022-08-28 00:00:00;2022-08-29 00:00:00;2022-08-30 00:00:00;2022-08-31 00:00:00;2022-09-01 00:00:00;2022-09-02 00:00:00;2022-09-03 00:00:00;2022-09-04 00:00:00;2022-09-05 00:00:00;2022-09-06 00:00:00;2022-09-07 00:00:00;2022-09-08 00:00:00;2022-09-09 00:00:00;2022-09-10 00:00:00;2022-09-11 00:00:00;TOTAL
01;Stockholms län;23;Järfälla;100007354;Kallhälls bibliotek;164;134;162;84;0;260;149;249;137;156;187;0;343;213;414;244;295;288;0;3479
01;Stockholms län;23;Järfälla;100047231;Biblioteket i BAS Barkarby;37;46;38;45;0;64;32;48;66;42;112;0;144;81;159;224;222;358;0;1718
01;Stockholms län;23;Järfälla;100047254;Centrumgallerian Jakobsberg;398;374;403;216;238;328;370;375;343;382;330;495;536;632;703;754;735;659;925;9196
01;Stockholms län;25;Ekerö;100007356;Söderströmsgårdens Paviljong;78;96;43;0;89;72;90;93;79;76;0;175;132;156;169;255;237;0;0;1840
01;Stockholms län;25;Ekerö;100007357;Ekerö Centrum, Utkiken biblioteket;209;186;205;119;0;269;265;241;256;255;247;0;424;473;566;652;590;399;0;5356
01;Stockholms län;25;Ekerö;100007358;Ekerö kommunhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;236
01;Stockholms län;26;Huddinge;100007359;Rosendalsgårdens äldreboende;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;36
01;Stockholms län;26;Huddinge;100007360;Karolinska sjukhuset, Huddinge;21;50;34;15;13;72;78;73;87;69;55;122;157;175;188;245;247;382;544;2627
01;Stockholms län;26;Huddinge;100007362;Tallgårdens äldreboende;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;26
01;Stockholms län;26;Huddinge;100007363;Björnkulla äldreboende;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6
01;Stockholms län;26;Huddinge;100007364;Beateberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01;Stockholms län;26;Huddinge;100007365;Huddinge centrum, Folkes;203;255;227;116;123;259;293;264;303;374;276;351;471;611;594;764;926;720;663;7793
01;Stockholms län;26;Huddinge;100007366;Fleminghallen;52;47;39;35;0;53;69;69;62;62;72;81;148;137;190;257;383;566;0;2322
01;Stockholms län;26;Huddinge;100007367;Segeltorpsskolan Rönnen;63;60;52;58;0;92;58;70;81;67;101;106;130;148;181;148;190;541;0;2146
01;Stockholms län;26;Huddinge;100007368;Skogås bibliotek;142;150;122;92;0;182;149;165;145;164;142;130;306;305;339;373;441;459;0;3806
01;Stockholms län;26;Huddinge;100007369;Vårby bibliotek;16;42;22;23;0;44;35;27;44;33;35;0;73;108;56;110;119;243;0;1030
01;Stockholms län;26;Huddinge;100007370;Masmo, Expose föreningslokal;8;15;8;7;0;16;24;15;10;15;8;28;26;31;27;31;58;110;0;437
01;Stockholms län;26;Huddinge;100007372;Stuvsta stationshus;109;134;69;94;123;118;100;142;146;106;197;284;275;293;347;392;359;393;0;3681
01;Stockholms län;26;Huddinge;100007373;Huddinge, Huvudbiblioteket;202;198;136;64;100;194;203;243;164;169;132;201;291;339;390;436;463;324;0;4249
01;Stockholms län;26;Huddinge;100007374;Stortorps äldreboende;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;29
01;Stockholms län;26;Huddinge;100007375;Västergårdens äldreboende;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
01;Stockholms län;26;Huddinge;100197483;Trångsunds gamla bibliotek;73;72;64;71;0;87;67;82;79;77;71;102;178;177;213;211;221;249;0;2094
01;Stockholms län;27;Botkyrka;100007376;Mötesplats Grödinge;65;82;76;30;32;76;78;72;83;87;59;126;130;147;173;229;274;207;0;2026
01;Stockholms län;27;Botkyrka;100007377;Tumba medborgarkontor;237;208;196;87;87;246;239;231;217;0;164;211;322;333;360;403;515;394;562;5012
01;Stockholms län;27;Botkyrka;100007378;Alby medborgarkontor;92;83;92;27;23;107;99;93;124;103;63;54;173;225;224;287;358;270;527;3024
01;Stockholms län;27;Botkyrka;100007381;Mobil enhet 2;12;21;11;0;0;0;0;11;41;8;11;19;21;25;0;104;41;144;0;469
01;Stockholms län;27;Botkyrka;100007382;Fittja medborgarkontor;38;28;45;19;21;48;46;53;41;53;24;37;96;80;124;140;126;181;0;1200
01;Stockholms län;27;Botkyrka;100007384;Mobil enhet 1;14;22;13;0;0;0;8;26;18;17;47;53;34;41;0;38;35;180;0;546
01;Stockholms län;27;Botkyrka;100007387;Tullinge medborgarkontor;160;178;153;83;102;237;204;193;199;132;132;204;366;386;444;447;540;326;0;4486
01;Stockholms län;27;Botkyrka;100007388;Hallunda medborgarkontor;114;122;138;39;50;152;191;171;152;164;80;131;284;266;299;379;427;262;0;3421
01;Stockholms län;28;Salem;100007392;Murgrönans foajé (Salems bibliotek);167;165;138;82;100;169;163;157;203;171;148;225;270;207;224;405;439;533;236;4202
01;Stockholms län;28;Salem;100007393;Villa Skönvik;0;0;0;0;0;0;81;53;47;62;87;0;69;147;137;63;119;210;0;1075
01;Stockholms län;36;Haninge;100007395;Jordbro bibliotek;26;38;37;20;0;27;37;46;38;49;32;0;42;76;73;123;175;251;0;1090
01;Stockholms län;36;Haninge;100007397;Västerhaninge bibliotek;164;190;163;108;0;234;194;212;239;246;196;0;303;346;364;403;434;263;0;4059
01;Stockholms län;36;Haninge;100007398;Haninge kulturhus;276;225;193;94;92;196;225;253;244;232;168;194;387;452;491;556;557;464;664;5963
01;Stockholms län;36;Haninge;100007399;Träffpunkten Dalarö;19;31;0;0;49;0;0;60;54;0;0;104;0;0;125;122;0;0;0;564
01;Stockholms län;36;Haninge;100007400;Folk & Trädgårdsmuseet;0;0;0;73;0;0;108;0;0;0;177;0;0;189;0;0;0;268;0;815
01;Stockholms län;36;Haninge;100007402;Utö Hembygdsgård;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;86
01;Stockholms län;36;Haninge;100007403;Ornö bygdegård;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;142
01;Stockholms län;36;Haninge;100007404;Brandbergens bibliotek;0;78;98;28;0;86;63;0;77;113;48;0;103;125;0;158;193;182;0;1352
01;Stockholms län;36;Haninge;100040804;Ica Maxi Stormarknad Haninge;206;260;219;223;291;329;339;359;424;360;487;623;684;738;833;846;875;901;0;8997
01;Stockholms län;38;Tyresö;100007407;Biblioteket Trollbäcken;113;121;113;77;0;192;137;147;102;151;155;0;336;223;251;278;406;303;0;3105
01;Stockholms län;38;Tyresö;100007408;Biblioteket Tyresö Strand;106;81;57;0;72;71;77;95;83;101;0;184;132;136;254;194;291;0;0;1934
01;Stockholms län;38;Tyresö;100007410;Huvudbiblioteket Tyresö Centrum;268;314;254;158;160;306;364;341;326;361;296;354;500;569;667;754;912;623;0;7527
01;Stockholms län;38;Tyresö;100007412;Servicecenter Tyresö kommun;72;75;46;19;28;62;68;61;103;56;34;34;91;88;104;116;132;201;378;1768
01;Stockholms län;38;Tyresö;100042124;Granängsringen;11;12;13;12;0;20;8;12;15;30;34;0;27;46;60;61;71;145;0;577
01;Stockholms län;39;Upplands-Bro;100007414;Kommunhuset;108;92;98;138;0;169;139;194;165;176;177;230;440;396;467;580;611;494;284;4958
01;Stockholms län;39;Upplands-Bro;100007416;Brohuset;82;61;46;0;84;65;82;95;105;67;138;171;188;232;273;293;362;391;231;2966
01;Stockholms län;39;Upplands-Bro;100034053;Kungshallen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;60
01;Stockholms län;39;Upplands-Bro;100034101;Kvistaberg;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;49
01;Stockholms län;39;Upplands-Bro;100034104;Lindströmska huset;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;63
01;Stockholms län;40;Nykvarn;100007417;Qulturum Sländan;120;195;111;43;31;173;144;127;191;169;102;161;310;270;319;494;462;318;0;3740
01;Stockholms län;40;Nykvarn;100048927;Kommunhuset;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;143
01;Stockholms län;60;Täby;100007418;Bostadsrättsföreningen Vingen;36;30;23;24;0;52;49;28;22;25;98;0;61;73;55;76;71;0;0;723
01;Stockholms län;60;Täby;100007419;Täby kommunhus;343;276;211;0;0;379;308;278;323;371;0;0;537;513;654;646;899;980;565;7283
01;Stockholms län;60;Täby;100007421;Näsbyparks bibliotek;133;130;99;72;74;124;134;120;166;162;154;168;210;241;231;246;390;263;0;3117
01;Stockholms län;60;Täby;100007422;Skarpängs bibliotek;53;59;30;0;0;65;92;40;53;33;0;0;108;174;91;112;86;0;0;996
01;Stockholms län;60;Täby;100007423;Täby Racketcenter;63;38;45;50;0;87;60;75;80;62;0;0;170;156;162;192;235;350;0;1825
01;Stockholms län;60;Täby;100007424;Täby kyrkbys bibliotek;45;78;42;0;0;124;84;81;105;57;0;0;242;113;156;290;143;0;0;1560
01;Stockholms län;60;Täby;100036638;Huvudbiblioteket;163;183;166;132;193;213;220;223;197;186;240;286;430;496;465;544;436;292;0;5065
01;Stockholms län;60;Täby;100059660;Gribbylunds bibliotek;66;65;35;0;0;63;0;47;72;42;0;0;108;157;100;186;113;0;0;1054
01;Stockholms län;60;Täby;100059696;K-rauta Arena;25;20;22;0;0;0;0;38;29;39;0;0;0;0;120;113;187;0;0;593
01;Stockholms län;60;Täby;100063754;Allégården;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
01;Stockholms län;60;Täby;100063760;Ångaren;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
01;Stockholms län;60;Täby;100063770;Tibblehemmet;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;13
01;Stockholms län;60;Täby;100063865;Anstalten Täby;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;45
01;Stockholms län;60;Täby;100064148;Gribbylunds gård;0;0;0;0;0;0;85;0;6;0;0;0;0;0;0;0;0;0;0;91
01;Stockholms län;62;Danderyd;100007425;Stocksunds bibliotek;34;42;0;0;0;47;61;24;41;0;0;0;84;0;71;115;0;0;0;519
01;Stockholms län;62;Danderyd;100007426;Entrétorget, Danderyds Kontaktcenter;219;195;176;97;106;78;310;223;198;250;179;223;435;456;519;504;651;414;270;5503
01;Stockholms län;62;Danderyd;100007427;Tallgårdens Äldreboende;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;32
01;Stockholms län;62;Danderyd;100007428;Birgittasystrarna;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;25
