lan;län;kom;kommun;lokalid;lokal;2018-08-22;2018-08-23;2018-08-24;2018-08-25;2018-08-26;2018-08-27;2018-08-28;2018-08-29;2018-08-30;2018-08-31;2018-09-01;2018-09-02;2018-09-03;2018-09-04;2018-09-05;2018-09-06;2018-09-07;2018-09-08;2018-09-09;Totalt
01;Stockholms län;14;Upplands Väsby;12659;Upplands Väsby station;0;0;0;0;0;166;178;209;193;163;182;242;245;357;410;456;518;703;0;4022
01;Stockholms län;14;Upplands Väsby;12660;Löwenströmska sjukhuset;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;94;0;0;192
01;Stockholms län;14;Upplands Väsby;13464;Väsby Centrum;378;452;353;307;352;399;370;452;423;380;369;428;493;645;770;915;902;814;560;9762
01;Stockholms län;14;Upplands Väsby;14614;Grimstagården;0;0;0;0;0;0;0;0;113;101;0;0;0;0;0;0;0;0;0;214
01;Stockholms län;15;Vallentuna;14381;Kårsta bibliotek;0;0;0;0;0;0;50;0;0;0;0;0;56;0;0;0;0;0;0;106
01;Stockholms län;15;Vallentuna;15370;Gustav Vasaskolan;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;220;0;0;0;326
01;Stockholms län;15;Vallentuna;7945;Kulturhuset;192;203;208;158;161;185;184;250;249;261;265;313;455;518;522;486;565;500;273;5948
01;Stockholms län;15;Vallentuna;7946;Karby bibliotek;0;0;0;0;0;126;0;0;0;0;0;0;0;264;0;0;0;0;0;390
01;Stockholms län;17;Österåker;10383;Enebackens äldreboende;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;29
01;Stockholms län;17;Österåker;10635;Åkersberga bibliotek;300;304;276;169;170;366;389;335;357;407;355;355;618;649;788;851;996;681;0;8366
01;Stockholms län;17;Österåker;10636;Kommunhuset/Alceahuset;129;170;125;0;0;180;140;188;164;179;0;0;305;321;309;358;442;0;369;3379
01;Stockholms län;17;Österåker;10637;Solskiftets äldreboende;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;28
01;Stockholms län;17;Österåker;13842;Skärgårdsgymnasiet;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4
01;Stockholms län;17;Österåker;13843;Österåkers gymnasium;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;8
01;Stockholms län;17;Österåker;14880;Vårdbo;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;19
01;Stockholms län;17;Österåker;15452;Attendo Kantarellvägen;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
01;Stockholms län;17;Österåker;15453;Förenade Care;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;18
01;Stockholms län;17;Österåker;15456;Humana Norrgårdshöjden;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;32
01;Stockholms län;17;Österåker;5876;Ljungbacken;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
01;Stockholms län;17;Österåker;5877;Träffpunkt Solhälla;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;18
01;Stockholms län;17;Österåker;5879;Anstalten Österåker;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;68
01;Stockholms län;17;Österåker;8122;Information Ljusterö;21;30;30;22;13;0;43;38;40;0;0;32;0;72;58;86;89;101;0;675
01;Stockholms län;17;Österåker;9793;Bygdegården Lurkan;0;0;0;49;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;113
01;Stockholms län;20;Värmdö;13552;Huvudbiblioteket, Runda Huset;164;190;157;136;136;251;260;302;264;213;270;300;477;585;590;736;658;589;0;6278
01;Stockholms län;20;Värmdö;14594;Alsviks Bygdegård;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;45;97
01;Stockholms län;20;Värmdö;5883;Gustavsgården;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
01;Stockholms län;20;Värmdö;9123;Kommunhuset, Skogsbo;158;123;99;0;0;106;121;110;132;133;0;0;166;197;218;363;309;482;389;3106
01;Stockholms län;20;Värmdö;9124;Ingarö bibliotek, Brunns skola;36;49;21;0;0;66;52;75;82;17;0;0;107;132;115;177;261;0;0;1190
